公司家数,平均价格,当前价,总成交量,总成交额,涨跌幅,涨跌幅1,涨跌额,涨跌额1,版块,领涨股
1,5.65,5.65,2890485.31,160945.16,4.44%,4.44%,0.24,0.24,电信服务,中国联通
15,16.78,30.05,4395764.03,590594.62,4.37%,8.52%,0.70,2.36,软件服务,中国软件
44,15.93,30.05,7478497.47,1123602.89,2.74%,8.52%,0.42,2.36,计算机软件,中国软件
63,10.58,6.36,9719239.97,1243783.86,2.29%,10.03%,0.24,0.58,信息设备,烽火电子
36,6.75,9.99,9864334.23,587285.35,2.23%,6.05%,0.15,0.57,钢铁,大冶特钢
38,11.11,5.81,5559976.49,763279.39,1.97%,6.80%,0.21,0.37,通信设备,北纬科技
14,6.94,20.94,1017186.89,78452.63,1.92%,6.95%,0.13,1.36,网络服务,卫 士 通
16,10.81,20.94,3863780.39,272048.66,1.75%,6.95%,0.19,1.36,信息服务,卫 士 通
5,14.85,21.15,280286.17,30040.46,1.63%,4.14%,0.24,0.84,新能源,宏发股份
50,12.33,15.28,6092055.04,822685.11,1.55%,10.01%,0.19,1.39,家用电器,新北洋
19,11.40,36.49,2677170.36,337001.79,1.40%,3.66%,0.16,1.29,水泥,海螺水泥
30,6.90,16.47,2210079.83,149027.67,1.38%,10.02%,0.09,1.50,纸业,宜宾纸业
32,10.81,57.81,9953735.23,1101603.13,1.27%,2.17%,0.14,1.23,金融,中国平安
14,9.26,9.00,7080321.96,573179.86,1.21%,2.16%,0.11,0.19,银行,平安银行
26,10.62,9.35,3778478.51,368829.71,1.17%,5.65%,0.12,0.50,计算机设备,同方股份
28,13.28,15.09,3798296.35,634998.46,1.12%,2.31%,0.15,0.34,非银行金融,华泰证券
72,8.08,3.59,6439179.19,449902.23,1.07%,4.66%,0.09,0.16,有色金属,*ST金岭
5,6.20,8.18,401478.26,32050.20,1.06%,2.38%,0.07,0.19,石油开采,中国石油
3,23.71,14.53,164402.33,33557.48,1.02%,1.96%,0.24,0.28,航空制造,中航飞机
83,10.80,5.23,10484023.47,955007.19,0.99%,5.66%,0.11,0.28,电子元器件,沪电股份
34,8.66,21.30,2459424.22,209815.37,0.91%,5.86%,0.08,1.18,非金属制品,凯乐科技
16,7.20,23.18,920625.17,46790.21,0.90%,4.04%,0.06,0.90,出版传媒,东方明珠
15,5.88,6.06,1324314.78,55978.53,0.89%,5.57%,0.05,0.32,包装印刷,合兴包装
33,6.47,2.47,4863833.94,312478.05,0.81%,5.11%,0.05,0.12,煤炭开采,*ST安煤
30,6.93,3.02,5541066.55,313580.89,0.66%,4.86%,0.05,0.14,煤炭 ,*ST安泰
50,9.82,36.49,4393460.81,489040.74,0.62%,3.66%,0.06,1.29,建筑材料,海螺水泥
48,7.44,5.04,4158419.11,309487.92,0.57%,10.04%,0.04,0.46,专用设备,市北高新
8,4.93,5.58,586241.62,23092.31,0.48%,1.82%,0.02,0.10,轻工制造业,宁波韵升
203,8.28,4.96,15522135.10,1266039.89,0.46%,9.98%,0.04,0.45,化学工业,沧州明珠
42,9.73,6.69,2166323.82,176328.68,0.45%,5.69%,0.04,0.36,汽车及配件,渤海汽车
55,5.43,16.65,3086603.62,179318.67,0.42%,3.22%,0.02,0.52,电力,长江电力
51,29.30,108.50,3864785.69,1083999.80,0.42%,3.24%,0.12,3.40,食品饮料,洋河股份
30,11.92,24.60,1196914.16,146233.67,0.42%,5.67%,0.05,1.32,餐饮旅游,锦江股份
51,7.58,1.29,7598023.95,386333.76,0.32%,10.26%,0.02,0.12,运输服务,国恒退
52,7.97,10.85,5410889.44,410612.11,0.30%,6.58%,0.02,0.67,农牧渔,开创国际
29,9.64,24.60,1498254.22,97909.57,0.27%,5.67%,0.03,1.32,旅游餐饮,锦江股份
21,6.14,16.47,1909060.46,128458.81,0.20%,10.02%,0.01,1.50,造纸,宜宾纸业
51,7.76,9.85,2553490.65,182391.82,0.14%,10.06%,0.01,0.90,普通机械,博深工具
40,5.63,1.29,7092868.08,283395.70,0.14%,10.26%,0.01,0.12,交通运输,国恒退
122,6.72,4.20,10080240.74,621863.07,0.12%,7.14%,0.01,0.28,地产及租赁,斯太尔
54,9.14,4.20,3660085.42,281969.53,0.11%,7.14%,0.01,0.28,汽车及零部件,斯太尔
45,6.61,16.92,2568624.51,162075.09,0.10%,4.44%,0.01,0.72,综合,恒逸石化
137,6.79,8.99,14047347.18,725045.24,0.09%,10.04%,0.01,0.82,房地产,中体产业
73,7.61,7.55,4143167.57,306170.92,0.06%,10.06%,0.00,0.69,电气设备,宝光股份
14,6.56,8.54,1039856.65,55706.62,-0.02%,1.79%,-0.00,0.15,燃气水务,锦龙股份
42,5.85,5.68,6400249.46,395616.88,-0.03%,3.27%,-0.00,0.18,建筑装饰,海油工程
85,7.89,6.59,4485324.56,336883.31,-0.10%,10.02%,-0.01,0.60,商业贸易,中百集团
6,11.67,11.85,799049.67,44234.70,-0.13%,2.51%,-0.01,0.29,仪器仪表,智度股份
66,7.32,5.72,3904743.95,263343.79,-0.19%,9.58%,-0.01,0.50,服装纺织,嘉欣丝绸
35,12.50,4.25,2676562.65,246321.55,-0.20%,3.66%,-0.02,0.15,非汽车交运设备,信隆健康
10,10.60,9.15,296998.96,39225.70,-0.29%,2.01%,-0.03,0.18,通用设备,航天动力
7,6.55,3.75,242420.38,22790.25,-0.30%,0.81%,-0.02,0.03,公共交通,北巴传媒
5,9.70,20.60,325728.59,32174.97,-0.39%,0.98%,-0.04,0.20,社会服务,中源协和
36,7.27,5.68,4928597.49,337868.21,-0.49%,3.27%,-0.04,0.18,建筑工程,海油工程
26,8.95,15.15,2359004.59,133117.89,-0.51%,3.13%,-0.05,0.46,其他轻工,游族网络
13,8.83,6.24,980060.58,47525.43,-0.64%,1.46%,-0.06,0.09,金属制品,通润装备
33,7.47,3.20,2354809.09,196062.51,-0.70%,1.59%,-0.05,0.05,运输设施,重庆路桥
38,7.25,3.20,2111636.95,160929.12,-0.76%,1.59%,-0.06,0.05,交运设施,重庆路桥
34,8.80,4.87,2350513.57,202066.62,-0.80%,2.31%,-0.07,0.11,运输设备,安凯客车
15,7.07,4.61,1536410.07,101776.38,-0.85%,3.60%,-0.06,0.16,石油化工,中油工程
19,7.16,8.54,1169828.69,79497.72,-0.89%,1.79%,-0.06,0.15,公用事业,锦龙股份
4,10.75,4.52,109961.37,7562.68,-1.08%,0.89%,-0.12,0.04,林业,吉林森工
144,15.86,11.33,9457037.65,1517108.90,-1.13%,10.00%,-0.18,1.03,医药生物,鲁抗医药
